HGNC symbol	NCBI gene ID	Gene Synonym
MT-TF		MTTF
MT-TF		trnF
MT-RNR1		12S
MT-RNR1		MOTS-c
MT-RNR1		MTRNR1
MT-TV		MTTV
MT-TV		trnV
MT-RNR2		16S
MT-RNR2		HN
MT-RNR2		MTRNR2
MT-TL1		MTTL1
MT-TL1		TRNL1
MT-ND1	4535	MTND1
MT-ND1	4535	NAD1
MT-ND1	4535	ND1
MT-TI		MTTI
MT-TI		trnI
MT-TQ		MTTQ
MT-TQ		trnQ
MT-TM		MTTM
MT-TM		trnM
MT-ND2	4536	MTND2
MT-ND2	4536	NAD2
MT-ND2	4536	ND2
MT-TW		MTTW
MT-TW		trnW
MT-TA		MTTA
MT-TA		trnA
MT-TN		MTTN
MT-TN		trnN
MT-TC		MTTC
MT-TC		trnC
MT-TY		MTTY
MT-TY		trnY
MT-CO1	4512	COI
MT-CO1	4512	COX1
MT-CO1	4512	MTCO1
MT-TS1		MTTS1
MT-TS1		TRNS1
MT-TD		MTTD
MT-TD		trnD
MT-CO2	4513	CO2
MT-CO2	4513	COX2
MT-CO2	4513	MTCO2
MT-TK		MERRF
MT-TK		MTTK
MT-TK		trnK
MT-ATP8	4509	A6L
MT-ATP8	4509	ATP8
MT-ATP8	4509	MTATP8
MT-ATP6	4508	ATP6
MT-ATP6	4508	ATPase-6
MT-ATP6	4508	MTATP6
MT-ATP6	4508	RP
MT-ATP6	4508	Su6m
MT-CO3	4514	CO3
MT-CO3	4514	COIII
MT-CO3	4514	COX3
MT-CO3	4514	MTCO3
MT-TG		MTTG
MT-TG		trnG
MT-ND3	4537	MTND3
MT-ND3	4537	NAD3
MT-ND3	4537	ND3
MT-TR		MTTR
MT-TR		trnR
MT-ND4L	4539	MTND4L
MT-ND4L	4539	NAD4L
MT-ND4L	4539	ND4L
MT-ND4	4538	LHON
MT-ND4	4538	MTND4
MT-ND4	4538	NAD4
MT-ND4	4538	ND4
MT-TH		MTTH
MT-TH		trnH
MT-TS2		MTTS2
MT-TS2		RP8
MT-TS2		TRNS2
